I-35	Oklahoma	Ardmore, Blackwell, Edmond, Guthrie, Moore, Newcastle, Norman, Oklahoma City, Pauls Valley, Perry, Purcell
I-35	Kansas	Andover, Emporia, Gardner, Haysville, Kansas City, Lenexa, Merriam, Mission, Olathe, Ottawa, Overland Park, Wichita
I-35	Iowa	Ames, Ankeny, Clear Lake, Clive, Urbandale, West Des Moines
I-35	Missouri	Kansas City, Liberty
I-35E	Texas	Carrollton, Corinth, Dallas, Denton, DeSoto, Farmers Branch, Lancaster, Lewisville, Waxahachie
I-35E	Minnesota	Apple Valley, Burnsville, Eagan, Lino Lakes, Little Canada, Maplewood, Mendota Heights, St. Paul, Vadnais Heights, White Bear Lake
I-35W	Texas	Denton, Flower Mound, Fort Worth
I-35W	Minnesota	Arden Hills, Blaine, Bloomington, Burnsville, Lino Lakes, Minneapolis, New Brighton, Richfield, Roseville, Shoreview
I-37	Texas	Corpus Christi, San Antonio
I-39	Wisconsin	Plover, Portage, Rib Mountain, Stevens Point
I-39	Illinois	La Salle, Rochelle, Rockford
I-4	Florida	Altamonte Springs, Citrus Ridge, De Bary, Deltona, East Lake-Orient Park, Fairview Shores, Lake Mary, Lakeland, Longwood, Maitland, Mango, Orange City, Orlando, Plant City, Sanford, Seffner, Tampa, Thonotosassa, Wekiwa Springs, Winston
I-40	Tennessee	Brownsville, Cookeville, Crossville, Dickson, Fairview, Farragut, Harriman, Jackson, Knoxville, Lebanon, Memphis, Mount Juliet, Nashville-Davidson, Newport, Sevierville
I-40	North Carolina	Asheville, Black Mountain, Burlington, Cary, Chapel Hill, Clemmons, Conover, Durham, Garner, Graham, Greensboro, Hickory, Kernersville, Mebane, Morganton, Murraysville, Raleigh, Statesville, Winston-Salem
I-40	New Mexico	Albuquerque, Gallup, Grants, Tucumcari
I-40	Arizona	Flagstaff, Holbrook, Kingman, New Kingman-Butler, Winslow
I-40	Oklahoma	Clinton, Del City, El Reno, Elk City, Henryetta, Midwest City, Oklahoma City, Sallisaw, Seminole, Shawnee, Weatherford, Yukon
I-40	Arkansas	Clarksville, Conway, Forrest City, Morrilton, North Little Rock, Russellville, Van Buren, West Memphis
I-40	Texas	Amarillo
I-40	California	Barstow, Needles
I-41	Wisconsin	Milwaukee, Menomonee Falls, Germantown, Rishfield, Slinger, Fond Du Loc, North Fond Du Loc, Oshkosh, Neenah, Town of Menasha, Town of Grand Chute, Appleton, Town of Little Chute, Kaukauna, Ashwaubenon, Green Bay
I-43	Wisconsin	Bellevue Town, Beloit, Delavan, Elkhorn, Fox Point, Glendale, Grafton, Green Bay, Greenfield, Howard, Manitowoc, Mequon, Milwaukee, Mukwonago, New Berlin, Sheboygan
I-44	Oklahoma	Chickasha, Edmond, Fair Oaks, Lawton, Miami, Newcastle, Oklahoma City, Sapulpa, Tulsa, Vinita
I-44	Missouri	Crestwood, Eureka, Kirkwood, Lebanon, Marshfield, Rolla, Shrewsbury, Springfield, St. Louis, Sunset Hills, Webster Groves, Wildwood
I-44	Texas	Burkburnett, Wichita Falls
I-45	Texas	Conroe, Corsicana, Dallas, Dickinson, Ennis, Galveston, Hitchcock, Houston, Huntsville, La Marque, League City, Spring, Texas City, Webster
I-49	Louisiana	Alexandria, Carencro, Lafayette, Natchitoches, Opelousas, Shreveport
I-49	Missouri	Joplin, Kansas City
I-49	Arkansas	Texarkana, Fayetteville, Bentonville, Springdale, Rogers
I-5	California	Anaheim, Anderson, Avenal, Bakersfield, Buena Park, Burbank, Camp Pendeleton South, Carlsbad, Centralia, Chula Vista, Commerce, Corning, Country Club, Dana Point, Downey, East Los Angeles, Encinitas, Fullerton, Glendale, Irvine, Kelso, Kent, La Mirada, Lacey, Laguna West-Lakeside, Lake Forest, Lathrop, Lodi, Los Angeles, Lynwood, martha Lake, Marysville, Medvord, Mission Viejo, Montebello, National City, Norwalk, Ocenaside, Orange, Orland, Olympia, Red Bluff, Redding, Sacramento, San Clemente, San Diego, San Juan Capistrano, Santa Ana, Santa Clarita, Santa Fe Springs, Shasta Lake, Solana Beach, Stockton, Tustin, Willows, Woodland, Yreka
I-5	Oregon	Albany, Ashland, Central Point, Cottage Grove, Eugene, Four Corners, Grants Pass, Green, Hayesville, Lake Oswego, Medford, Grants Pass, Portland, Roseburg, Roseburg North, Salem, Springfield, Sutherlin, Tigard, Tualatin, Vancouver, Wilsonville, Woodburn
I-5	Washington	Alderwood Manor, Arlington, Bellingham, Burlington, Centrailia, Chehalis, Des Moines, Everett, Federal Way, Ferndale, Fort Lewis, Hazel Dell North, Kelso, Kent, Lacey, Lakeland North, Lakeland South, Lakewood, Martha Lake, Marysville, Mount Vernon, Mount Vista, Mountlake Terrace, Olympia, Paine Field-Lake Stickney, Picnic Point- North Lynwood, Salmon Creek, Seatac, Seattle, Seatlle Hill-Silver Firs, Shoreline, Tacoma, Tanglewilde-Thompson Place, Tukwila, Tumwater, Vancouver
I-55	Illinois	Bloomington, Bolingbrook, Channahon, Chicago, Collinsville, Countryside, Darien, East St. Louis, Glen Carbon, Joliet, Litchfield, Normal, Plainfield, Pontiac, Romeoville, Shorewood, Springfield, Stickney, Summit, Troy, Willowbrook, Woodridge
I-55	Mississippi	Batesville, Brookhaven, Byram, Canton, Crystal Springs, Grenada, Jackson, Madison, McComb, Richland, Ridgeland, Senatobia, Southaven
I-55	Missouri	Affton, Arnold, Barnhart, Cape Girardeau, East St. Louis, Festus, Lemay, Mehlville, Perryville, Sikeston, St. George
I-55	Arkansas	Blytheville, Marion, Memphis, Osceola, West Memphis
I-55	Louisiana	Hammond, Laplace, Ponchatoula
I-55	Tennessee	Memphis, Southhaven
I-57	Illinois	Benton, Blue Island, Bourbonnais, Bradley, Calumet Park, Champaign, Chicago, Country Club Hills, Effingham, Kankakee, Marion, Markham, Matteson, Mattoon, Mount Vernon, Oak Forest, Rantoul, Richton Park, Riverdale, Salem, University Park, West Frankfort
I-57	Missouri	Sikeston
I-59	Alabama	Attalla, Birmingham, Fort Payne, Gadsden, Trussville
I-59	Mississippi	Hattiesburg, Laurel, Picayune, West Hattiesburg
I-59	Louisiana	Slidell
I-64	Virginia	Charlottesville, Chesapeake, Covington, Dumbarton, East Highland Park, Hampton, Highland Springs, Lakeside, Montrose, Newport News, Norfolk, Richmond, Tuckahoe, Virginia Beach, Waynesboro
I-64	West Virginia	Beckley, Charleston, Cross Lanes, Dunbar, Huntington, Hurricane, Nitro, Pea Ridge, South Charleston, Teays Valley
I-64	Kentucky	Frankfort, Jeffersontown, Lexington-Fayette, Louisville, Middletown, Morehead, Mount Sterling, Shelbyville, St. Matthews, Winchester
I-64	Illinois	East St. Louis, Fairview Heights, Mascoutah, Mount Vernon, O'Fallon, Washington Park
I-64	Indiana	Louisville, New Albany
I-64	Missouri	Brentwood, Chesterfield, Ladue, Lake St. Louis, O'Fallon, Richmond Heights, St. Louis, Town and Country, Wentzville
I-65	Alabama	Alabaster, Athens, Birmingham, Chickasaw, Clanton, Cullman, Decatur, Fultondale, Gardendale, Greenville, Hartselle, Homewood, Millbrook, Mobile, Montgomery, Pelham, Prichard, Saraland, Satsuma, Vestavia Hills
I-65	Indiana	Clarksville, Columbus, Crown Point, Franklin, Gary, Greenwood, Hobart, Indianapolis, Jeffersonville, Lafayette, Lake Station, Lebanon, Louisville, Merrillville, Roselawn, Scottsburg, Sellersburg, Seymour
I-65	Kentucky	Bowling Green, Elizabethtown, Hillview, Louisville, Okolona
I-65	Tennessee	Brentwood, Columbia, Franklin, Goodlettsville, Nashville-Davidson
I-66	Virginia	Arlington, Centreville, Chantilly, Dunn Loring, Fairfax, Front Royal, Idylwood, McLean, Merrifield, Oakton, Vienna, Washington
I-66	District of Columbia	Washington, D.C.
I-68	Maryland	Cumberland
I-68	West Virginia	Cheat Lake, Morgantown
I-69	Indiana	Anderson, Auburn, Fishers, Fort Wayne, Gas City, Indianapolis, Washington, Bloomington
I-69	Michigan	Burton, Charlotte, Coldwater, Flint, Marshall, Port Huron
I-69	Texas	Corpus Christi, Houston, Humble, Stafford, Sugar Land
I-69	Kentucky	Princeton, Madisonville, Henderson
I-69	Mississippi	Hernando
I-69	Tennessee	Bartlett, Memphis, Southaven
I-69 Central	Texas	Pharr
I-69 East	Texas	Brownsville, Combes, Harlingen, San Benito
I-69 West	Texas	Laredo
I-70	Colorado	Applewood, Arvada, Clifton, Denver, Edwards, Fruitvale, Glenwood Springs, Golden, Grand Junction, Lakewood, Rifle, Wheat Ridge
I-70	Kansas	Abilene, Bonner Springs, Colby, Hays, Kansas City, Lawrence, Salina, Topeka
I-70	Missouri	Berkeley, Blue Springs, Boonville, Bridgeton, Columbia, Independence, Kansas City, Lake St. Louis, Maryland Heights, O'Fallon, St. Ann, St. Charles, St. Louis, St. Peters, Wentzville
I-70	Utah	Richfield
I-70	Ohio	Cambridge, Columbus, Englewood, Huber Heights, Pickerington, Springfield, St. Clairsville, Vandalia, Zanesville
I-70	Pennsylvania	Somerset, Washington
I-70	Indiana	Greenfield, Indianapolis, Plainfield, Richmond, Terre Haute
I-70	Illinois	Greenville, Highland, St. Louis, Vandalia
I-70	Maryland	Ballenger Creek, Baltimore, Ellicott City, Frederick, Green Valley, Halfway, Linganore-Bartonsville, Mount Airy, Woodlawn
I-70	West Virginia	Wheeling
I-71	Ohio	Blue Ash, Brook Park, Brooklyn, Brunswick, Cincinnati, Cleveland, Columbus, Covington, Grove City, Kenwood, Landen, Lebanon, Madeira, Mansfield, Mason, Middleburg Heights, Montgomery, Norwood, Silverton, Strongsville
I-71	Kentucky	Covington, Erlanger, Florence, Fort Mitchell, Fort Wright, La Grange, Louisville
I-72	Illinois	Champaign, Decatur, Springfield
I-72	Missouri	Hannibal
I-73*	North Carolina	Asheboro, Emery, Ellerbe, Greensboro
I-74	Illinois	Bloomington, Champaign, Danville, East Peoria, Galesburg, Moline, Morton, Peoria, Urbana
I-74	Indiana	Beech Grove, Brownsburg, Crawfordsville, Danville, Greensburg, Indianapolis, Shelbyville, Speedway
I-74	North Carolina	Greensboro, Kernersville, Lumberton, Mount Airy, Winston-Salem
I-74	Ohio	Cincinnati, Dent, Harrison
I-74	Iowa	Bettendorf, Davenport
